1;Thailand;Baht;57
2;Indonesia;Rupiah;2
3;Egypt;Pound;3
4;Greece;Euro;22
5;Peru;Sol;37
6;Russia;Ruble;38
7;Croatia;Kuna;60
8;Greece;Euro;42
9;Indonesia;Rupiah;2
10;China;Yuan Renminbi;98
11;France;Euro;59
12;Philippines;Peso;49
13;Czech Republic;Koruna;100
14;Madagascar;Ariary;96
15;Laos;Kip;34
16;Switzerland;Franc;66
17;Brazil;Real;76
18;China;Yuan Renminbi;29
19;Czech Republic;Koruna;67
20;Portugal;Euro;19
21;Indonesia;Rupiah;41
22;Philippines;Peso;50
23;Mexico;Peso;71
24;Japan;Yen;12
25;China;Yuan Renminbi;16
26;United States;Dollar;34
27;Peru;Sol;92
28;Cameroon;Franc;33
29;China;Yuan Renminbi;3
30;Czech Republic;Koruna;85
31;Senegal;Franc;61
32;Greece;Euro;80
33;Nigeria;Naira;67
34;Lithuania;Litas;76
35;Indonesia;Rupiah;64
36;Indonesia;Rupiah;96
37;Sweden;Krona;90
38;Indonesia;Rupiah;3
39;Peru;Sol;53
40;Portugal;Euro;62
41;Poland;Zloty;57
42;France;Euro;61
43;Philippines;Peso;12
44;Portugal;Euro;35
45;Ukraine;Hryvnia;37
46;Indonesia;Rupiah;60
47;France;Euro;90
48;Thailand;Baht;13
49;Indonesia;Rupiah;45
50;Indonesia;Rupiah;70
51;Russia;Ruble;26
52;Brazil;Real;46
53;China;Yuan Renminbi;90
54;United States;Dollar;65
55;Russia;Ruble;42
56;Ukraine;Hryvnia;48
57;Kosovo;Euro;15
58;Indonesia;Rupiah;63
59;China;Yuan Renminbi;53
60;Thailand;Baht;9
61;Russia;Ruble;62
62;Argentina;Peso;98
63;China;Yuan Renminbi;20
64;Sweden;Krona;66
65;Albania;Lek;56
66;Indonesia;Rupiah;48
67;Lebanon;Pound;47
68;Philippines;Peso;12
69;Colombia;Peso;62
70;Poland;Zloty;31
71;Honduras;Lempira;89
72;China;Yuan Renminbi;8
73;Canada;Dollar;83
74;Latvia;Euro;44
75;Croatia;Kuna;75
76;Portugal;Euro;4
77;Norway;Krone;40
78;Indonesia;Rupiah;5
79;Japan;Yen;66
80;Peru;Sol;38
81;China;Yuan Renminbi;62
82;Ukraine;Hryvnia;86
83;Thailand;Baht;96
84;Canada;Dollar;94
85;Chile;Peso;90
86;Japan;Yen;46
87;China;Yuan Renminbi;46
88;Czech Republic;Koruna;42
89;South Africa;Rand;78
90;Botswana;Pula;66
91;Brazil;Real;68
92;Poland;Zloty;98
93;Indonesia;Rupiah;46
94;Palestinian Territory;Shekel;49
95;Ukraine;Hryvnia;3
96;Sweden;Krona;1
97;Argentina;Peso;81
98;Colombia;Peso;30
99;Japan;Yen;55
100;Poland;Zloty;98
